,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
6349,10732,Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon,6.59,"Adventure, Comedy, Magic, Shounen, Supernatural",Unknown,金色のガッシュベル！！走れガッシュ！！奪われたウマゴン,OVA,1,2006,Unknown,Unknown,Unknown,Toei Animation,Unknown,21 min.,PG-13 - Teens 13 or older,5453.0,8036,2741,2,61,1542,55,53,1030,74.0,72.0,136.0,246.0,262.0,128.0,46.0,14.0,10.0,6.0
14413,37666,3-bu de Wakaru Koizumi Yakumo no Kaidan,Unknown,"Historical, Horror, Parody, Supernatural",Unknown,３分で分かる小泉八雲の怪談,ONA,7,"May 9, 2014 to Jul 8, 2015",Unknown,Unknown,Unknown,Unknown,Book,3 min. per ep.,G - All Ages,13169.0,13966,259,0,9,110,9,52,79,6.0,Unknown,Unknown,3.0,12.0,21.0,13.0,5.0,7.0,13.0
16863,42161,Zuruggu to Mimikkyu,6.66,Comedy,Chase the Beans,ズルッグとミミッキュ,ONA,1,"Jun 4, 2020",Unknown,"Nintendo, Creatures Inc.",Unknown,DandeLion Animation Studio,Game,4 min.,G - All Ages,5082.0,8481,2308,2,56,1641,25,29,557,71.0,65.0,172.0,353.0,312.0,152.0,35.0,22.0,7.0,4.0
7401,16247,Satsujin Kippu wa Heart-iro,5.5,"Mystery, Shoujo",Unknown,殺人切符はハート色,OVA,1,"Feb 3, 1990",Unknown,Nihon Eizo,Unknown,"Nippon Animation, Studio WHO",Novel,50 min.,PG-13 - Teens 13 or older,9696.0,11389,680,0,22,337,11,41,269,9.0,1.0,10.0,38.0,65.0,67.0,38.0,16.0,10.0,6.0
5626,9056,Agitated Screams of Maggots,4.21,"Dementia, Music, Horror",Unknown,アジテイテッド・スクリームズ・オブ・マゴッツ,Music,1,"Nov, 2006",Unknown,Unknown,Unknown,Unknown,Original,3 min.,R+ - Mild Nudity,10964.0,6196,5550,11,43,4790,23,91,603,182.0,83.0,145.0,292.0,429.0,453.0,360.0,306.0,446.0,838.0
8287,20471,Aoki Uru,Unknown,"Military, Sci-Fi",Uru in Blue,蒼きウル,Movie,1,Unknown,Unknown,Unknown,Unknown,Gaina,Original,Unknown,Unknown,Unknown,6340,5334,1,0,0,0,0,5334,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
15343,39102,Transformers: Choujin Master Force Soushuuhen,Unknown,"Mecha, Sci-Fi",Unknown,トランスフォーマー・超神マスターフォース 総集編,OVA,4,Unknown,Unknown,Unknown,Unknown,Unknown,Other,28 min. per ep.,G - All Ages,12583.0,14593,217,0,9,81,9,20,98,5.0,Unknown,1.0,6.0,14.0,17.0,8.0,2.0,2.0,4.0
8149,19817,Namakemono ga Miteta,Unknown,"Slice of Life, Music, Seinen",Unknown,ナマケモノが見てた,OVA,2,"Sep 23, 1988 to Jul 28, 1989",Unknown,Agent 21,Unknown,Unknown,Unknown,29 min. per ep.,Unknown,15749.0,15268,180,0,8,58,5,34,75,5.0,2.0,7.0,4.0,6.0,7.0,3.0,4.0,1.0,3.0
9539,26321,Soba no Hana Saita Hi,Unknown,"Drama, Kids",Unknown,そばの花さいた日,OVA,1,2000,Unknown,Gakken,Unknown,Unknown,Unknown,12 min.,G - All Ages,12110.0,16388,120,0,7,25,2,42,44,6.0,Unknown,2.0,3.0,1.0,Unknown,Unknown,Unknown,Unknown,3.0
17190,42962,Uzaki-chan wa Asobitai! 2nd Season,Unknown,"Slice of Life, Comedy, Romance, Ecchi",Unknown,宇崎ちゃんは遊びたい！,TV,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manga,Unknown,PG-13 - Teens 13 or older,Unknown,2458,43219,91,1,0,0,0,43218,2.0,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7170,14741,Chuunibyou demo Koi ga Shitai!,7.77,"Slice of Life, Comedy, Drama, Romance, School","Love, Chunibyo & Other Delusions!",中二病でも恋がしたい!,TV,12,"Oct 4, 2012 to Dec 20, 2012",Fall 2012,"Lantis, Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,878.0,77,955524,17973,38186,691636,21667,23477,180558,57458.0,100161.0,175475.0,138444.0,50732.0,20079.0,6982.0,2575.0,1249.0,1167.0
8386,21055,Mission School,5.67,"Music, School",Mission School,MISSION SCHOOL,Music,1,"Nov 22, 2006",Unknown,Ajia-Do,Unknown,Unknown,Unknown,4 min.,G - All Ages,9259.0,11817,575,1,15,438,4,25,93,16.0,6.0,24.0,38.0,74.0,83.0,50.0,13.0,7.0,8.0
12265,34136,Orange: Mirai,7.44,"Sci-Fi, Drama, Romance, School, Shoujo",Unknown,orange －未来－,Movie,1,"Nov 18, 2016",Unknown,TMS Entertainment,Unknown,Telecom Animation Film,Manga,1 hr. 3 min.,PG-13 - Teens 13 or older,1774.0,1533,90238,180,1907,42492,999,593,44247,3486.0,4157.0,7754.0,8191.0,3629.0,1564.0,667.0,316.0,186.0,170.0
10402,30173,Fruity Samurai,5.83,"Action, Comedy, Samurai, Historical",Unknown,フルーティー侍,TV,13,2013,Unknown,Kids Station,Unknown,Unknown,Unknown,3 min. per ep.,PG - Children,8737.0,12224,480,3,27,152,19,49,233,7.0,1.0,9.0,20.0,24.0,24.0,8.0,5.0,6.0,9.0
12217,34021,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.85,"Action, Adventure, Drama, Seinen",Unknown,LUPIN THE IIIRD 血煙の石川五ェ門,Movie,1,"Feb 4, 2017",Unknown,"TMS Entertainment, TMS Music",Discotek Media,Telecom Animation Film,Manga,53 min.,R+ - Mild Nudity,743.0,3267,25195,82,1042,12502,267,162,11222,871.0,1901.0,3678.0,2286.0,715.0,254.0,51.0,22.0,7.0,30.0
11950,33538,Shima Kousaku no Asia Risshi-den,Unknown,"Drama, Seinen",Shima Kosaku's Asian Entrepreneurs,島耕作のアジア立志伝,TV,26,"May 10, 2013 to Feb 13, 2015",Spring 2013,NHK,Unknown,Unknown,Manga,36 min. per ep.,PG-13 - Teens 13 or older,11954.0,12428,445,0,36,45,10,66,288,9.0,Unknown,Unknown,2.0,8.0,6.0,1.0,1.0,1.0,4.0
12070,33782,Life!,Unknown,"Slice of Life, Comedy",Unknown,LIFE!,Special,2,"Aug 4, 2016 to Oct 13, 2016",Unknown,NHK,Unknown,Unknown,Original,Unknown,PG-13 - Teens 13 or older,15298.0,12609,415,1,45,38,10,104,218,9.0,2.0,1.0,2.0,4.0,3.0,9.0,1.0,Unknown,5.0
6914,13173,Puka Puka Juju,6.69,"Fantasy, Slice of Life",Unknown,ぷかぷかジュジュ,Movie,1,"Mar 19, 2012",Unknown,The Answer Studio,Unknown,Unknown,Original,24 min.,G - All Ages,4960.0,6575,4798,5,88,3313,56,48,1293,86.0,134.0,409.0,884.0,596.0,296.0,78.0,34.0,13.0,9.0
15406,39170,Dead End Street,Unknown,Music,Dead End Street,デッドエンドストリート,Music,1,"Feb 25, 2016",Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,13787.0,15949,141,0,0,116,0,6,19,5.0,1.0,4.0,11.0,12.0,19.0,16.0,6.0,2.0,6.0
13558,36318,Quanzhi Fashi II,6.72,"Action, Magic, Fantasy, School",Unknown,全职法师Ⅱ,ONA,12,"Sep 15, 2017 to Dec 1, 2017",Unknown,"Shanghai Foch Film Culture Investment, Tencent Penguin Pictures, China Literature Limited",Unknown,Unknown,Novel,18 min. per ep.,PG-13 - Teens 13 or older,4808.0,2383,45306,84,3934,32383,1194,1660,6135,1456.0,1685.0,3709.0,6929.0,5108.0,2446.0,1214.0,474.0,242.0,159.0
6100,10189,Hunter x Hunter Pilot,7.2,"Action, Adventure, Shounen, Super Power",Unknown,ハンターxハンター,OVA,1,1998,Unknown,Unknown,Unknown,Studio Pierrot,Manga,25 min.,PG-13 - Teens 13 or older,2773.0,3578,20953,60,343,14367,254,228,5761,1104.0,884.0,1747.0,2846.0,1505.0,739.0,211.0,79.0,46.0,48.0
7176,14781,Roboteuwang Sseonsyakeu,Unknown,"Action, Mecha, Sci-Fi",Unknown,로보트왕 썬샤크,Movie,1,"Jul 20, 1985",Unknown,Unknown,Unknown,Unknown,Unknown,1 hr. 1 min.,PG - Children,11746.0,13628,289,0,16,123,4,42,104,6.0,3.0,2.0,2.0,3.0,8.0,13.0,14.0,13.0,25.0
3229,3701,Kaiba,8.17,"Adventure, Mystery, Romance, Sci-Fi",Kaiba,カイバ,TV,12,"Apr 11, 2008 to Jul 25, 2008",Spring 2008,"VAP, WOWOW",Discotek Media,Madhouse,Original,24 min. per ep.,R+ - Mild Nudity,339.0,1270,113817,2965,5599,39280,4101,2787,62050,6091.0,9308.0,9648.0,5390.0,2186.0,923.0,468.0,200.0,177.0,354.0
5738,9356,Cool Cool Bye,5.04,"Action, Adventure, Fantasy",Unknown,クール・クール・バイ,OVA,1,"Jan 21, 1986",Unknown,Pony Canyon,Unknown,Studio Bogey,Original,30 min.,R+ - Mild Nudity,10543.0,10522,979,1,33,604,12,40,290,10.0,10.0,13.0,40.0,87.0,97.0,101.0,48.0,43.0,13.0
17446,45613,Kawaii dake ja Nai Shikimori-san,Unknown,"Slice of Life, Comedy, Romance",Unknown,可愛いだけじゃない式守さん,TV,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manga,Unknown,Unknown,Unknown,8086,2777,23,0,0,0,0,2777,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4981,7354,Chikara to Onna no Yo no Naka,Unknown,Historical,Unknown,力と女の世の中,Movie,1,"Apr 13, 1933",Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,13634.0,12533,427,0,18,137,15,83,174,8.0,2.0,3.0,6.0,12.0,22.0,8.0,3.0,3.0,9.0
12626,34800,Action Heroine Cheer Fruits,6.55,"Comedy, School, Slice of Life",Action Heroine Cheer Fruits,アクションヒロイン チアフルーツ,TV,12,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,"TBS, Nippon Columbia, KlockWorx, Hobby Japan, Glovision, RAY, Nichion, GYAO!, Production Ace",Sentai Filmworks,Diomedéa,Original,24 min. per ep.,PG-13 - Teens 13 or older,5623.0,4607,11747,19,893,3952,492,1545,4865,153.0,187.0,508.0,983.0,832.0,544.0,241.0,131.0,54.0,65.0
13597,36380,Power Powan,Unknown,"Kids, Music",Unknown,ポワ ポワーン,Music,1,"Feb 3, 1970",Unknown,NHK,Unknown,Unknown,Original,2 min.,G - All Ages,11612.0,16876,91,0,6,29,2,28,26,4.0,Unknown,1.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0
15728,39644,Setsugetsuka,Unknown,Music,Unknown,Unknown,Music,1,"Nov 21, 2018",Unknown,Broccoli,Unknown,Unknown,Visual novel,3 min.,G - All Ages,11904.0,16469,117,0,2,81,3,7,24,8.0,1.0,2.0,8.0,9.0,10.0,8.0,3.0,1.0,2.0
12962,35287,Tire Kan x Kamiusagi Rope,Unknown,"Slice of Life, Comedy",Unknown,タイヤ館x紙兎ロペ,ONA,22,"Oct 14, 2013 to Apr 8, 2016",Unknown,Unknown,Unknown,Unknown,Original,1 min. per ep.,G - All Ages,12518.0,15079,189,0,19,54,6,38,72,4.0,1.0,Unknown,3.0,5.0,14.0,4.0,4.0,4.0,6.0
472,505,Fushigiboshi no☆Futagohime,7.27,"Magic, Comedy, Shoujo",Unknown,ふしぎ星の☆ふたご姫,TV,51,"Apr 2, 2005 to Mar 25, 2006",Spring 2005,"TV Tokyo, Diomedéa, Nihon Ad Systems",Unknown,Hal Film Maker,Original,24 min. per ep.,G - All Ages,2495.0,5096,9084,90,548,4050,620,667,3199,335.0,367.0,663.0,934.0,533.0,290.0,68.0,32.0,17.0,16.0
7808,18053,Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei,6.78,"Drama, Romance, School",Unknown,いけない葉月先生,Special,1,"Sep 26, 2012",Unknown,Unknown,Unknown,AIC Build,Unknown,23 min.,PG-13 - Teens 13 or older,4535.0,5356,8006,1,304,3945,226,152,3379,194.0,163.0,323.0,675.0,502.0,273.0,75.0,30.0,16.0,19.0
3077,3496,Ougon no Hou: El Cantare no Rekishikan,5.29,"Historical, Fantasy",The Golden Laws,黄金の法　エル・カンターレの歴史観,Movie,1,"Oct 11, 2003",Unknown,Group TAC,Unknown,Unknown,Original,1 hr. 50 min.,PG - Children,10129.0,11583,624,2,31,278,14,38,263,11.0,8.0,12.0,19.0,21.0,38.0,30.0,25.0,24.0,13.0
3748,4621,Arisubyeon-ui Kkumnamu,Unknown,"Sports, Drama",The Olympic Challenge,아리수변의 꿈나무,Movie,1,1987,Unknown,"KBS, Shinwon Productions",Unknown,Unknown,Unknown,1 hr. 15 min.,G - All Ages,13339.0,14383,230,0,10,60,4,59,97,4.0,1.0,5.0,10.0,1.0,8.0,1.0,3.0,2.0,1.0
9697,28049,Numa no Taishou,5.14,"Adventure, Comedy",General of the Swamp,沼の大将,Movie,1,"Nov 17, 1933",Unknown,The National Film Center Japan,Unknown,Unknown,Original,7 min.,G - All Ages,10407.0,12428,444,0,18,287,7,48,84,10.0,Unknown,4.0,10.0,22.0,59.0,33.0,21.0,10.0,22.0
3922,5023,Ninpuu Kamui Gaiden,6.63,"Action, Adventure, Historical, Martial Arts, Samurai",Unknown,忍風カムイ外伝,TV,26,"Apr 6, 1969 to Sep 28, 1969",Spring 1969,Fuji TV,Unknown,Tele-Cartoon Japan,Manga,25 min. per ep.,R - 17+ (violence & profanity),5227.0,9669,1443,9,66,308,62,95,912,24.0,12.0,42.0,72.0,38.0,20.0,7.0,7.0,8.0,3.0
10726,30928,Tobidashi wa Abunaizo! Mushi Mushi Mura no Koutsuu Anzen,Unknown,"Drama, Kids",Unknown,とびだしはあぶないぞ！　むしむし村の交通安全,OVA,1,2012,Unknown,Unknown,Unknown,Toei Animation,Unknown,12 min.,G - All Ages,12526.0,16559,112,0,7,23,3,46,33,3.0,Unknown,1.0,1.0,1.0,2.0,1.0,1.0,Unknown,3.0
10204,29863,Anata wo Zutto Aishiteru,6.35,"Adventure, Kids, Fantasy",Unknown,あなたをずっとあいしてる,Movie,1,"Jun 6, 2015",Unknown,Media Castle,Unknown,Unknown,Picture book,1 hr. 22 min.,G - All Ages,6631.0,10242,1097,4,29,416,19,58,575,23.0,17.0,42.0,55.0,69.0,59.0,16.0,4.0,9.0,10.0
6404,10842,Fullmetal Alchemist: The Sacred Star of Milos Specials,6.97,"Comedy, Magic, Fantasy",Unknown,鋼の錬金術師 嘆きの丘[ミロス]の聖なる星 特別動画,ONA,4,"Jun 10, 2011 to Jun 30, 2011",Unknown,Studio Moriken,Unknown,Bones,Manga,4 min. per ep.,PG-13 - Teens 13 or older,3740.0,3720,19356,21,399,9715,487,361,8394,615.0,610.0,935.0,1463.0,974.0,554.0,234.0,91.0,54.0,83.0
13255,35774,Starmyu 2nd Season Special,6.76,Music,Unknown,特別編 高校星歌劇［スタミュ］,Special,1,"Jun 27, 2017",Unknown,Unknown,Unknown,Unknown,Original,27 min.,PG-13 - Teens 13 or older,4617.0,8623,2169,7,84,593,48,64,1380,70.0,29.0,54.0,68.0,52.0,31.0,9.0,6.0,3.0,8.0
14740,38124,Zhu Zhu Xia: Bian Shen Xiao Ying Xiong,Unknown,"Sci-Fi, Super Power, Kids",GG Bond Season 7:Monster Hero,猪猪侠 变身小英雄,TV,52,"Dec, 2013 to ?",Unknown,Unknown,Unknown,Unknown,Original,15 min. per ep.,G - All Ages,13112.0,16441,116,0,3,49,1,40,23,6.0,Unknown,Unknown,4.0,6.0,3.0,1.0,1.0,4.0,9.0
4626,6522,Usahana: Yumemiru Ballerina,Unknown,Kids,Unknown,ウサハナ 夢見るバレリーナ,Special,7,"Oct, 2006 to Dec, 2006",Unknown,Sanrio,Unknown,Unknown,Unknown,7 min. per ep.,G - All Ages,12743.0,14002,259,1,15,73,8,45,118,7.0,1.0,4.0,7.0,7.0,6.0,5.0,3.0,1.0,3.0
1871,2051,Akai Kiba: Blue Sonnet,6.01,"Action, Drama, Sci-Fi, Shoujo, Super Power",Blue Sonnet,紅い牙 ブルー・ソネット,OVA,5,"Jul 16, 1989 to Jun 25, 1990",Unknown,"Mushi Production, Nippon Television Network",Central Park Media,Tatsunoko Production,Manga,29 min. per ep.,R+ - Mild Nudity,8173.0,9023,1876,1,74,805,66,99,832,16.0,14.0,62.0,155.0,160.0,136.0,53.0,23.0,13.0,9.0
2412,2626,The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,6.27,Fantasy,Unknown,ザ☆ドラえもんズ ムシムシぴょんぴょん大作戦！,Movie,1,"Mar 7, 1998",Unknown,Unknown,Unknown,Shin-Ei Animation,Unknown,16 min.,PG - Children,7030.0,10510,980,0,17,606,18,67,272,33.0,17.0,37.0,95.0,96.0,55.0,21.0,11.0,9.0,5.0
10984,31517,Ohayou Ninja-tai Gatchaman,Unknown,"Comedy, Parody",Unknown,おはよう忍者隊ガッチャマン,TV,475,"Apr 18, 2011 to Mar 29, 2013",Spring 2011,Oddjob,Unknown,Unknown,Unknown,1 min. per ep.,G - All Ages,11296.0,11819,571,1,22,167,21,93,268,8.0,Unknown,9.0,10.0,18.0,19.0,12.0,5.0,9.0,12.0
7420,16371,Peeping Life: The Perfect Emotion,5.62,"Slice of Life, Comedy",Unknown,Peeping Life（ピーピング・ライフ）-The Perfect Emotion-,OVA,10,"Apr 16, 2010",Unknown,CoMix Wave Films,Unknown,Unknown,Original,5 min. per ep.,G - All Ages,9354.0,11603,619,0,27,295,17,61,219,5.0,4.0,16.0,33.0,40.0,44.0,14.0,16.0,17.0,16.0
8304,20581,Nekketsu Tantei Jimusho,5.38,"Comedy, Mystery, Parody",Unknown,熱血探偵事務所,ONA,5,"Sep 16, 2013 to Oct 15, 2013",Unknown,CoMix Wave Films,Unknown,Unknown,Unknown,3 min. per ep.,PG-13 - Teens 13 or older,9975.0,12653,406,1,16,221,15,45,109,6.0,3.0,5.0,14.0,34.0,45.0,18.0,11.0,11.0,11.0
15723,39634,Boy General,Unknown,"Action, Drama, Historical, Military",Boy General,소년장수,TV,50,1982 to 1997,Unknown,Unknown,Unknown,Unknown,Unknown,20 min. per ep.,G - All Ages,13506.0,17169,68,0,5,17,2,13,31,1.0,Unknown,Unknown,1.0,Unknown,4.0,1.0,1.0,Unknown,5.0
7683,17537,Ryou Seibai!: Gakuen Bishoujo Seisai Hiroku,6.86,Hentai,Unknown,凌成敗! ~学園美少女制裁秘録~,OVA,2,"Apr 26, 2013 to Jul 26, 2013",Unknown,Suzuki Mirano,Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,5931,6194,17,663,3268,350,253,1660,261.0,177.0,392.0,613.0,400.0,252.0,99.0,40.0,29.0,27.0
1081,1186,Battle Athletess Daiundoukai (TV),6.9,"Action, Sci-Fi, Adventure, Comedy, Sports, Drama, School, Shounen",Battle Athletes Victory,バトルアスリーテス大運動会,TV,26,"Oct 3, 1997 to Mar 27, 1998",Fall 1997,"TV Tokyo, Genco, Pioneer LDC",Geneon Entertainment USA,AIC,Original,22 min. per ep.,PG - Children,4008.0,5610,7155,33,271,3521,307,420,2636,140.0,265.0,531.0,821.0,483.0,283.0,114.0,52.0,28.0,25.0
622,667,Kashimashi: Girl Meets Girl,6.67,"Comedy, Drama, Romance, School, Shoujo Ai, Slice of Life",Girl Meets Girl,かしまし〜ガール・ミーツ・ガール〜,TV,12,"Jan 12, 2006 to Mar 30, 2006",Winter 2006,"Bandai Visual, Lantis",Media Blasters,Studio Hibari,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5054.0,2436,43400,186,1686,25767,1582,2447,11918,1040.0,1617.0,3655.0,5736.0,4286.0,2560.0,1167.0,532.0,300.0,248.0
3287,3801,Yami no Teio: Kyuuketsuki Dracula,3.81,Vampire,Dracula:Sovereign of the Damned,闇の帝王　吸血鬼ドラキュラ,Special,1,"Aug 19, 1980",Unknown,Unknown,Unknown,Toei Animation,Other,1 hr. 34 min.,R - 17+ (violence & profanity),11018.0,7950,2863,3,52,1842,31,72,866,42.0,12.0,39.0,62.0,95.0,183.0,272.0,283.0,279.0,231.0
6070,10109,Softenni,6.52,"Comedy, Sports, Ecchi, School",Softenni! the Animation,そふてにっ,TV,12,"Apr 8, 2011 to Jun 24, 2011",Spring 2011,"Geneon Universal Entertainment, Lantis, AT-X, KlockWorx, Studio Mausu",Sentai Filmworks,Xebec,Manga,24 min. per ep.,R+ - Mild Nudity,5778.0,3526,21373,22,1242,9198,914,1995,8024,270.0,429.0,1188.0,2257.0,1795.0,1095.0,504.0,257.0,147.0,81.0
7850,18295,Kakumeiki Valvrave 2nd Season,7.3,"Action, Space, Mecha",Valvrave the Liberator 2nd Season,革命機ヴァルヴレイヴ　2ndシーズン,TV,12,"Oct 10, 2013 to Dec 27, 2013",Fall 2013,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",Aniplex of America,Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),2358.0,1641,81652,223,2955,62074,1848,1810,12965,3908.0,6760.0,12305.0,12367.0,6159.0,2875.0,1675.0,799.0,388.0,283.0
16539,41170,Ryou,Unknown,"Dementia, Music",Fishing,漁,Movie,1,2014,Unknown,Geidai Animation,Unknown,Unknown,Original,3 min.,G - All Ages,11749.0,16642,105,0,0,80,2,5,18,2.0,Unknown,Unknown,4.0,9.0,13.0,14.0,5.0,1.0,8.0
15777,39730,Houkago Teibou Nisshi,7.38,"Slice of Life, Comedy, School, Seinen",Diary of Our Days at the Breakwater,放課後ていぼう日誌,TV,12,"Apr 7, 2020 to Sep 22, 2020",Spring 2020,Unknown,Funimation,Doga Kobo,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1999.0,2616,38031,157,5520,15732,1478,2215,13086,967.0,1597.0,4020.0,5080.0,2092.0,976.0,213.0,69.0,34.0,39.0
5840,9599,Miyazaki Maya Daizukan,5.83,Hentai,Unknown,宮崎摩耶大図鑑,OVA,2,"Nov 19, 2010 to Feb 18, 2011",Unknown,MS Pictures,Unknown,Unknown,Manga,17 min. per ep.,Rx - Hentai,Unknown,7590,3305,12,326,1468,212,180,1119,72.0,45.0,97.0,157.0,237.0,178.0,115.0,56.0,42.0,42.0
17500,47250,Jouran: The Princess of Snow and Blood,Unknown,"Action, Historical, Supernatural",Joran The Princess of Snow and Blood,擾乱 THE PRINCESS OF SNOW AND BLOOD,TV,Unknown,"Apr 7, 2021 to ?",Spring 2021,"Bushiroad, Sonilude",Unknown,Bakken Record,Original,Unknown,Unknown,Unknown,5966,6221,48,2,0,3,0,6216,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
15754,39694,Pocari Sweat x Fuji Rock Festival ’17,Unknown,Music,Unknown,ポカリスエット × FUJI ROCK FESTIVAL’17,ONA,1,"Jul 13, 2017",Unknown,Unknown,Unknown,Unknown,Original,30 sec.,G - All Ages,11579.0,15567,162,0,11,114,0,10,27,1.0,Unknown,3.0,7.0,16.0,27.0,14.0,3.0,2.0,5.0
16562,41202,"Kokoro Magic ""A to Z""",7.17,Music,Unknown,"KOKORO Magic ""A to Z""",Music,1,"Oct 30, 2019",Unknown,Lantis,Unknown,Sunrise,Other,5 min.,G - All Ages,2914.0,8725,2094,5,70,1326,17,35,646,126.0,89.0,173.0,237.0,134.0,74.0,12.0,18.0,7.0,9.0
10112,29712,Learn to Love,Unknown,Dementia,Unknown,learn to love,Movie,1,1999,Unknown,Unknown,Unknown,Unknown,Unknown,3 min.,G - All Ages,15275.0,14985,193,0,9,45,7,41,91,9.0,Unknown,2.0,3.0,3.0,5.0,Unknown,1.0,2.0,4.0
590,627,Major S1,8.27,"Comedy, Sports, Drama, Shounen",Unknown,メジャー （第1シリーズ）,TV,26,"Nov 13, 2004 to May 21, 2005",Fall 2004,"Shogakukan-Shueisha Productions, NHK",Unknown,Studio Hibari,Manga,25 min. per ep.,PG-13 - Teens 13 or older,253.0,1662,80171,1271,2712,53971,1738,1406,20344,7610.0,10874.0,13165.0,6922.0,2037.0,748.0,191.0,96.0,53.0,127.0
16825,42044,Minegishi-san wa Ootsu-kun ni Tabesasetai,6.25,Shounen Ai,Unknown,峰岸さんは大津くんに食べさせたい,ONA,4,"May 22, 2020 to Jun 12, 2020",Unknown,Bit Promotion,Unknown,AQUA ARIS,Web manga,1 min. per ep.,PG-13 - Teens 13 or older,7130.0,11803,581,1,26,355,9,26,165,12.0,11.0,23.0,56.0,66.0,46.0,15.0,3.0,4.0,5.0
10723,30925,Gatchaman Crowds Insight: Inbound,7.02,"Sci-Fi, Adventure",Gatchaman Crowds Insight,GATCHAMAN CROWDS insight（インサイト）「#0 inbound」,ONA,1,"Jun 20, 2015",Unknown,Unknown,Sentai Filmworks,Tatsunoko Production,Original,14 min.,PG-13 - Teens 13 or older,3567.0,3439,22542,13,435,16518,246,194,5149,472.0,863.0,2341.0,4081.0,2017.0,857.0,221.0,81.0,46.0,36.0
6929,13231,Metal Fight Beyblade Zero G,6.09,"Adventure, Sports",Beyblade:Shogun Steel,メタルファイト ベイブレード ZEROG,TV,38,"Apr 8, 2012 to Dec 23, 2012",Spring 2012,Unknown,Unknown,"Tatsunoko Production, SynergySP",Manga,12 min. per ep.,PG - Children,7878.0,4941,9898,14,314,6809,269,701,1805,282.0,216.0,503.0,1062.0,1203.0,918.0,439.0,228.0,131.0,109.0
3038,3444,The☆Ultraman,6.37,"Action, Sci-Fi, Space, Super Power",Unknown,ザ☆ウルトラマン,TV,50,"Apr 4, 1979 to Mar 26, 1980",Spring 1979,Tsuburaya Productions,Unknown,Production Reed,Other,25 min. per ep.,PG-13 - Teens 13 or older,6535.0,8691,2100,7,118,695,88,188,1011,38.0,29.0,62.0,143.0,112.0,87.0,30.0,16.0,12.0,8.0
2376,2590,Genmukan,6.36,Hentai,Genmukan:The Sin of Desire & Shame,幻夢館,OVA,2,"Mar 21, 2003 to May 22, 2003",Unknown,"Green Bunny, Studio Kyuuma, NuTech Digital",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,6249,5472,12,281,3190,218,170,1613,122.0,122.0,273.0,564.0,493.0,287.0,133.0,67.0,39.0,32.0
13942,36910,Wu Geng Ji 2nd Season,7.61,"Action, Historical, Supernatural, Martial Arts, Fantasy",Unknown,武庚纪之天启,ONA,42,"Dec 29, 2017 to Oct 5, 2018",Unknown,Tencent Penguin Pictures,Unknown,Sparkly Key Animation Studio,Manga,16 min. per ep.,PG-13 - Teens 13 or older,1256.0,8719,2097,12,232,1095,36,96,638,118.0,143.0,246.0,204.0,64.0,23.0,7.0,7.0,4.0,9.0
11206,32014,Shimajirou to Ehon no Kuni,Unknown,"Action, Comedy, Fantasy, Kids",Unknown,しまじろうと えほんのくに,Movie,1,"Mar 11, 2016",Unknown,Benesse Corporation,Unknown,TOHO animation,Unknown,Unknown,G - All Ages,11943.0,15244,179,0,12,47,5,41,74,8.0,Unknown,1.0,2.0,8.0,6.0,1.0,1.0,1.0,2.0
